잠재고객기관,건수,기대매출합(원),주력업종,주력지역,상태,메모,최종수정
국토교통부 대전지방국토관리청 예산국토관리사무소,6,1170000,토목공사,,contacted,target_preserve_test,2026-02-25T16:41:04
광주광역시 광산구,5,1056000,기타,광주광역시,new,,2026-02-25T16:41:04
국토교통부 익산지방국토관리청 광주국토관리사무소,5,960000,토목공사,,new,,2026-02-25T16:41:04
대구광역시 군위군,5,960000,기타,대구광역시,new,,2026-02-25T16:41:04
사단법인 수생태보전협의회,4,768000,기타,전라남도,new,,2026-02-25T16:41:04
중소기업은행,4,702000,전기공사,경상남도,new,,2026-02-25T16:41:04
충청남도 예산군,4,702000,토목공사,충청남도,new,,2026-02-25T16:41:04
경상북도 청도군,4,636000,토목공사,경상북도,new,,2026-02-25T16:41:04
서울특별시 송파구,3,702000,토목공사,서울특별시,new,,2026-02-25T16:41:04
충청남도 공주시,3,576000,토목공사,충청남도,new,,2026-02-25T16:41:04
전라남도 장흥군,3,576000,토목공사,전라남도,new,,2026-02-25T16:41:04
경상북도 상주시,3,576000,기타,경상북도,new,,2026-02-25T16:41:04
경상북도 구미시,3,510000,토목공사,경상북도,new,,2026-02-25T16:41:04
울산광역시,3,510000,조경공사,울산광역시,new,,2026-02-25T16:41:04
경상남도 거제시,3,510000,전기공사,경상남도,new,,2026-02-25T16:41:04
대구광역시 달성군,3,462000,토목공사,대구광역시,new,,2026-02-25T16:41:04
경상북도 경주시,3,444000,정보통신공사,경상북도,new,,2026-02-25T16:41:04
서울교통공사,2,480000,전기공사,서울특별시,new,,2026-02-25T16:41:04
전라남도 진도군,2,384000,전기공사,전라남도,new,,2026-02-25T16:41:04
경기도 김포시,2,384000,전기공사,경기도,new,,2026-02-25T16:41:04
전북특별자치도 김제시,2,384000,토목공사,전북특별자치도,new,,2026-02-25T16:41:04
과학기술정보통신부 국립전파연구원,2,384000,전기공사,,new,,2026-02-25T16:41:04
경기도 용인시,2,384000,건축공사,경기도,new,,2026-02-25T16:41:04
경기도 파주시,2,384000,기타,경기도,new,,2026-02-25T16:41:04
대구공공시설관리공단 성서사업처,2,384000,기타,대구광역시,new,,2026-02-25T16:41:04
한국농어촌공사 전북지역본부 군산지사,2,318000,전기공사,전북특별자치도,new,,2026-02-25T16:41:04
경상남도 진주시,2,318000,전기공사,경상남도,new,,2026-02-25T16:41:04
서울특별시,2,318000,건축공사,,new,,2026-02-25T16:41:04
충청북도 청주시,2,252000,건축공사,충청북도,new,,2026-02-25T16:41:04
전북특별자치도교육청 전북특별자치도무주교육지원청,1,288000,전기공사,전북특별자치도,new,,2026-02-25T16:41:04
한국원자력연구원,1,288000,정보통신공사,대전광역시,new,,2026-02-25T16:41:04
광주광역시 북구,1,210000,건축공사,광주광역시,new,,2026-02-25T16:41:04
인천광역시 연수구,1,192000,조경공사,인천광역시,new,,2026-02-25T16:41:04
인천광역시 강화군,1,192000,토목공사,인천광역시,new,,2026-02-25T16:41:04
전북특별자치도 전주시,1,192000,전기공사,전북특별자치도,new,,2026-02-25T16:41:04
경기도 평택시 상하수도사업소,1,192000,소방공사,경기도,new,,2026-02-25T16:41:04
서울시설공단,1,192000,소방공사,서울특별시,new,,2026-02-25T16:41:04
경상북도 문경시 호계면,1,192000,토목공사,경상북도,new,,2026-02-25T16:41:04
경기도 오산시,1,192000,전기공사,경기도,new,,2026-02-25T16:41:04
경기도 하남시,1,192000,토목공사,경기도,new,,2026-02-25T16:41:04
