번호,사업명,발주기관,수요기관,예산액,예산(만원),예산(억),발주시기,계약방법,업종,재량여부,지역,담당자,연락처
R26DD20667032,동진강지구 수리시설개보수사업 토목공사,한국농어촌공사 전북지역본부 정읍지사,한국농어촌공사,5002868000,500287,50.03,2026-02-25 11:29:28,제한경쟁,건축공사,일반경쟁,전북특별자치도,박미경,063-530-0393
R26DD20667016,"2026년 당진시(합덕,순성) 지방도 배수시설 정비공사",충청남도 건설본부 건설사업부 북부사무소,충청남도,49330000,4933,0.49,2026-02-25 11:25:27,수의계약,기타,소액수의,충청남도,박준열,041-635-7415
R26DD20666997,한국폴리텍대학 화성캠퍼스 기숙사 리모델링 공사(통신),한국폴리텍II대학 화성캠퍼스,학교법인한국폴리텍,589043000,58904,5.89,2026-02-25 11:19:55,일반경쟁,정보통신공사,일반경쟁,경기도,최준성,031-350-3115
R26DD20667381,2026년 MTV 녹지대 관리공사(4구역),경기도 안산시 단원구,경기도,59000000,5900,0.59,2026-02-25 14:32:30,수의계약,기타,재량계약,경기도,최윤나 주무관,031-481-6416
R26DD20667380,흥덕구 노후 보안등 LED 교체공사,충청북도 청주시 흥덕구,충청북도,99575000,9958,1.0,2026-02-25 14:31:08,수의계약,기타,재량계약,충청북도,홍명기,043-201-7355
R26DD20667378,유구읍 동해리(660-3)수해복구공사,충청남도 공주시,충청남도,38600000,3860,0.39,2026-02-25 14:30:28,수의계약,기타,소액수의,충청남도,이상원,041-840-7612
R26DD20667368,2026년 간판이 아름다운거리 조성사업,경기도 연천군,경기도,130196000,13020,1.3,2026-02-25 14:28:43,일반경쟁,기타,재량계약,경기도,장준호,031-839-2403
R26DD20667365,홍보지구대단위농업개발사업 은하공구 토목공사,한국농어촌공사 충남서부관리단,한국농어촌공사,0,0,0,2026-02-25 14:27:45,,토목공사,금액미정,,신유지,041-630-5900
R26DD20667361,여수정보과학고등학교 통학로 외부 계단(데크) 보수공사,전라남도교육청 여수정보과학고등학교,전라남도교육청,179205000,17920,1.79,2026-02-25 14:26:04,수의계약,기타,재량계약,전라남도,박경희,061-650-6211
R26DD20667359,법산리 호안정비공사,충청남도 태안군,충청남도,208455000,20846,2.08,2026-02-25 14:25:46,수의계약,기타,일반경쟁,충청남도,함형민,041-670-2699
R26DD20666894,"첨단3지구 공공폐수처리시설(1,2단계) 설치사업 정보통신공사조",전라남도 장성군,전라남도,45450000,4545,0.45,2026-02-25 10:24:12,수의계약,정보통신공사,소액수의,전라남도,정난옥,061-390-8547
R26DD20666423,면도101호(대의 추산지구) 재해복구사업,경상남도 의령군,경상남도,1588500000,158850,15.88,2026-02-24 22:37:16,제한경쟁,기타,일반경쟁,경상남도,이명식,055-570-3612
R26DD20666422,대덕읍 산정마을 용수로 철거 및 설치공사,전라남도 장흥군,전라남도,45970000,4597,0.46,2026-02-24 22:29:17,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666410,진평동 인동30길 일원 도로정비공사,경상북도 구미시,경상북도,208630000,20863,2.09,2026-02-24 21:52:08,수의계약,토목공사,일반경쟁,경상북도,강민준,054-480-5485
R26DD20666387,소하천(승지물천) 정비사업,충청남도 예산군,충청남도,98030000,9803,0.98,2026-02-24 21:08:19,수의계약,토목공사,재량계약,충청남도,한만범,041-339-7773
R26DD20666381,2026년 도시숲 수목 생육환경개선 단가공사,경기도 평택시,경기도,55000000,5500,0.55,2026-02-24 20:57:05,수의계약,조경공사,재량계약,경기도,이해원,031-8024-4217
R26DD20666362,장흥 연산 배수로 수해복구공사,전라남도 장흥군,전라남도,34680000,3468,0.35,2026-02-24 20:30:39,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666355,황청항 선착장 연장공사,인천광역시 강화군,인천광역시,970705000,97070,9.71,2026-02-24 20:19:29,제한경쟁,기타,일반경쟁,인천광역시,어촌재생팀,032-930-3843
R26DD20666347,2026년 두동 공한지 녹지 정비사업,울산광역시 울주군,울산광역시,113000000,11300,1.13,2026-02-24 20:13:50,수의계약,기타,재량계약,울산광역시,박상미,052-204-1744
R26DD20667323,사곡면 고당리(197-4) 돌망태 설치공사,충청남도 공주시,충청남도,32400000,3240,0.32,2026-02-25 14:15:02,수의계약,기타,소액수의,충청남도,이상원,041-840-7612
R26DD20666329,외포항 선착장 정비공사,인천광역시 강화군,인천광역시,441416000,44142,4.41,2026-02-24 20:00:37,수의계약,기타,일반경쟁,인천광역시,어촌재생팀,032-930-3843
R26DD20666322,회진 덕산지구 기계화 경작로 확포장공사,전라남도 장흥군,전라남도,84780000,8478,0.85,2026-02-24 19:56:51,수의계약,토목공사,재량계약,전라남도,최준환,061-860-6151
R26DD20666297,온양 내고산마을 석축공사,울산광역시 울주군,울산광역시,77000000,7700,0.77,2026-02-24 19:33:55,수의계약,기타,재량계약,울산광역시,정승익,052-204-1555
R26DD20666293,2026년 맨홀 내 추락방지시설 설치공사,전라남도 순천시,전라남도,283941000,28394,2.84,2026-02-24 19:31:25,수의계약,기타,일반경쟁,전라남도,배경환,061-749-2844
R26DD20666288,고현지구(준설) 수리시설개보수사업 공사 ,한국농어촌공사 경북지역본부 청송.영양지사,한국농어촌공사,513480000,51348,5.13,2026-02-24 19:27:34,제한경쟁,건축공사,일반경쟁,경상북도,박예슬,054-870-0503
R26DD20666258,감포 팔조리 음지마을 안길 정비공사,경상북도 경주시,경상북도,86300000,8630,0.86,2026-02-24 18:50:18,수의계약,기타,재량계약,경상북도,최재혁,054-779-6401
R26DD20666241,국도28호선 예천 호명 본포지구 등 3개소 포장도 보수공사,국토교통부 부산지방국토관리청 영주국토관리사무소,국토교통부,538150000,53815,5.38,2026-02-24 18:38:20,제한경쟁,토목공사,일반경쟁,경상북도,김병국,054-630-0054
R26DD20667252,김해시 서부권 비상공급망 구축사업 ,경상남도 김해시,경상남도,33702000000,3370200,337.02,2026-02-25 13:53:48,일반경쟁,기타,일반경쟁,경상남도,이승준,055-330-3874
R26DD20667233,2026년 산림유역관리사업,서울특별시 은평구,서울특별시,971809000,97181,9.72,2026-02-25 13:45:17,제한경쟁,기타,일반경쟁,서울특별시,하승완,02-351-8024
R26DD20667225,맨발길 조성사업(오산산들근린공원 외 1),경기도 양주시,경기도,102395000,10240,1.02,2026-02-25 13:42:39,수의계약,기타,재량계약,경기도,정찬호,031-8082-7311
R26DD20667212,수산제 키즈익사이팅 숲정원 조성사업,경상남도 밀양시,경상남도,2722588000,272259,27.23,2026-02-25 13:39:43,제한경쟁,기타,일반경쟁,경상남도,엄영식,055-359-5146
