번호,사업명,발주기관,수요기관,예산액,예산(만원),예산(억),발주시기,계약방법,업종,재량여부,지역,담당자,연락처
R26DD20667016,"2026년 당진시(합덕,순성) 지방도 배수시설 정비공사",충청남도 건설본부 건설사업부 북부사무소,충청남도,49330000,4933,0.49,2026-02-25 11:25:27,수의계약,기타,소액수의,충청남도,박준열,041-635-7415
R26DD20667381,2026년 MTV 녹지대 관리공사(4구역),경기도 안산시 단원구,경기도,59000000,5900,0.59,2026-02-25 14:32:30,수의계약,기타,재량계약,경기도,최윤나 주무관,031-481-6416
R26DD20667380,흥덕구 노후 보안등 LED 교체공사,충청북도 청주시 흥덕구,충청북도,99575000,9958,1.0,2026-02-25 14:31:08,수의계약,기타,재량계약,충청북도,홍명기,043-201-7355
R26DD20667378,유구읍 동해리(660-3)수해복구공사,충청남도 공주시,충청남도,38600000,3860,0.39,2026-02-25 14:30:28,수의계약,기타,소액수의,충청남도,이상원,041-840-7612
R26DD20667368,2026년 간판이 아름다운거리 조성사업,경기도 연천군,경기도,130196000,13020,1.3,2026-02-25 14:28:43,일반경쟁,기타,재량계약,경기도,장준호,031-839-2403
R26DD20667361,여수정보과학고등학교 통학로 외부 계단(데크) 보수공사,전라남도교육청 여수정보과학고등학교,전라남도교육청,179205000,17920,1.79,2026-02-25 14:26:04,수의계약,기타,재량계약,전라남도,박경희,061-650-6211
R26DD20666894,"첨단3지구 공공폐수처리시설(1,2단계) 설치사업 정보통신공사조",전라남도 장성군,전라남도,45450000,4545,0.45,2026-02-25 10:24:12,수의계약,정보통신공사,소액수의,전라남도,정난옥,061-390-8547
R26DD20666422,대덕읍 산정마을 용수로 철거 및 설치공사,전라남도 장흥군,전라남도,45970000,4597,0.46,2026-02-24 22:29:17,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666387,소하천(승지물천) 정비사업,충청남도 예산군,충청남도,98030000,9803,0.98,2026-02-24 21:08:19,수의계약,토목공사,재량계약,충청남도,한만범,041-339-7773
R26DD20666381,2026년 도시숲 수목 생육환경개선 단가공사,경기도 평택시,경기도,55000000,5500,0.55,2026-02-24 20:57:05,수의계약,조경공사,재량계약,경기도,이해원,031-8024-4217
R26DD20666362,장흥 연산 배수로 수해복구공사,전라남도 장흥군,전라남도,34680000,3468,0.35,2026-02-24 20:30:39,수의계약,기타,소액수의,전라남도,임재연,061-860-6154
R26DD20666347,2026년 두동 공한지 녹지 정비사업,울산광역시 울주군,울산광역시,113000000,11300,1.13,2026-02-24 20:13:50,수의계약,기타,재량계약,울산광역시,박상미,052-204-1744
R26DD20667323,사곡면 고당리(197-4) 돌망태 설치공사,충청남도 공주시,충청남도,32400000,3240,0.32,2026-02-25 14:15:02,수의계약,기타,소액수의,충청남도,이상원,041-840-7612
R26DD20666322,회진 덕산지구 기계화 경작로 확포장공사,전라남도 장흥군,전라남도,84780000,8478,0.85,2026-02-24 19:56:51,수의계약,토목공사,재량계약,전라남도,최준환,061-860-6151
R26DD20666297,온양 내고산마을 석축공사,울산광역시 울주군,울산광역시,77000000,7700,0.77,2026-02-24 19:33:55,수의계약,기타,재량계약,울산광역시,정승익,052-204-1555
R26DD20666258,감포 팔조리 음지마을 안길 정비공사,경상북도 경주시,경상북도,86300000,8630,0.86,2026-02-24 18:50:18,수의계약,기타,재량계약,경상북도,최재혁,054-779-6401
R26DD20667225,맨발길 조성사업(오산산들근린공원 외 1),경기도 양주시,경기도,102395000,10240,1.02,2026-02-25 13:42:39,수의계약,기타,재량계약,경기도,정찬호,031-8082-7311
R26DD20667200,하성면 가금리 604 일원 배수로 정비공사,경기도 김포시,경기도,191995000,19200,1.92,2026-02-25 13:38:28,수의계약,기타,재량계약,경기도,오병관,031-980-2431
R26DD20667193,2026년 가로수 전정 및 관리사업(초동면 범평리 일원),경상남도 밀양시,경상남도,42130000,4213,0.42,2026-02-25 13:37:35,수의계약,기타,소액수의,경상남도,엄영식,055-359-5146
R26DD20666228,선산출장소 주차장 정비공사,경상북도 구미시,경상북도,126900000,12690,1.27,2026-02-24 18:24:59,수의계약,기타,재량계약,경상북도,김재현,054-480-5733
R26DD20666185,청도읍연곡천재해복구사업,경상북도 청도군,경상북도,119000000,11900,1.19,2026-02-24 18:01:06,수의계약,기타,재량계약,경상북도,전승목,054-370-2332
R26DD20666174,영인면 역1리 호우피해 복구공사,충청남도 아산시,충청남도,50000000,5000,0.5,2026-02-24 17:54:57,수의계약,기타,소액수의,충청남도,김상윤,041-540-2568
R26DD20667186,화서 상현리 세천정비공사,경상북도 상주시,경상북도,157300000,15730,1.57,2026-02-25 13:36:38,수의계약,기타,재량계약,경상북도,채종규,054-537-6132
R26DD20667079,정안면 산성리(111-2)마을안길 포장공사,충청남도 공주시,충청남도,42600000,4260,0.43,2026-02-25 12:18:19,수의계약,토목공사,소액수의,충청남도,오윤정,041-840-7613
R26DD20666581,목리1저류지 퇴적토 정비 공사,지방자치단체조합 충남혁신도시관리본부,충청남도,44790000,4479,0.45,2026-02-25 09:00:46,수의계약,기타,소액수의,충청남도,이선영,041-634-0143
R26DD20666094,크리에이티브 허브 공간 방수공사,경상남도 통영시,경상남도,65374040,6537,0.65,2026-02-24 17:24:18,수의계약,기타,재량계약,경상남도,옥치훈,055-650-4513
R26DD20666087,증평수질개선사업소 호기조 터보송풍기 수선,충청북도 증평군 수도사업소,충청북도,20692000,2069,0.21,2026-02-24 17:19:00,수의계약,기타,소액수의,충청북도,권오승,043-835-4093
